iter	Passed	Remaining
400	27312	6742
401	27377	6674
402	27441	6605
403	27506	6536
404	27573	6467
405	27641	6399
406	27709	6331
407	27776	6263
408	27839	6194
409	27905	6125
410	27971	6057
411	28037	5988
412	28104	5920
413	28168	5851
414	28230	5782
415	28295	5713
416	28362	5645
417	28430	5577
418	28495	5508
419	28558	5439
420	28622	5370
421	28686	5302
422	28749	5233
423	28816	5165
424	28881	5096
425	28946	5028
426	29017	4960
427	29085	4892
428	29151	4824
429	29221	4756
430	29289	4689
431	29361	4621
432	29431	4554
433	29501	4486
434	29569	4418
435	29637	4350
436	29704	4282
437	29771	4214
438	29839	4146
439	29907	4078
440	29977	4010
441	30048	3943
442	30115	3874
443	30184	3807
444	30258	3739
445	30329	3672
446	30396	3604
447	30465	3536
448	30539	3468
449	30607	3400
450	30673	3332
451	30740	3264
452	30807	3196
453	30874	3128
454	30947	3060
455	31020	2993
456	31093	2925
457	31162	2857
458	31229	2789
459	31296	2721
460	31363	2653
461	31429	2585
462	31500	2517
463	31568	2449
464	31635	2381
465	31704	2313
466	31769	2244
467	31835	2176
468	31904	2108
469	31971	2040
470	32040	1972
471	32108	1904
472	32176	1836
473	32243	1768
474	32315	1700
475	32386	1632
476	32453	1564
477	32522	1496
478	32589	1428
479	32655	1360
480	32721	1292
481	32790	1224
482	32860	1156
483	32932	1088
484	33003	1020
485	33075	952
486	33147	884
487	33220	816
488	33289	748
489	33362	680
490	33430	612
491	33501	544
492	33563	476
493	33628	408
494	33692	340
495	33757	272
496	33820	204
497	33895	136
498	33977	68
499	34046	0
