iter	Passed	Remaining
401	17356	4231
402	17393	4186
403	17434	4142
404	17472	4098
405	17510	4054
406	17539	4007
407	17575	3963
408	17609	3918
409	17642	3872
410	17678	3828
411	17716	3784
412	17754	3740
413	17784	3694
414	17816	3649
415	17849	3604
416	17886	3560
417	17929	3517
418	17965	3473
419	18004	3429
420	18042	3385
421	18073	3340
422	18116	3297
423	18152	3253
424	18188	3209
425	18224	3165
426	18265	3122
427	18309	3080
428	18344	3036
429	18382	2992
430	18429	2950
431	18472	2907
432	18512	2864
433	18552	2821
434	18598	2779
435	18636	2735
436	18679	2692
437	18720	2649
438	18767	2607
439	18806	2564
440	18838	2520
441	18876	2477
442	18917	2434
443	18959	2391
444	18994	2347
445	19032	2304
446	19084	2262
447	19125	2219
448	19157	2176
449	19198	2133
450	19234	2089
451	19274	2046
452	19314	2003
453	19356	1961
454	19407	1919
455	19455	1877
456	19495	1834
457	19521	1790
458	19566	1747
459	19603	1704
460	19644	1661
461	19681	1618
462	19717	1575
463	19755	1532
464	19789	1489
465	19827	1446
466	19868	1403
467	19907	1361
468	19939	1317
469	19971	1274
470	20007	1231
471	20046	1189
472	20083	1146
473	20119	1103
474	20154	1060
475	20186	1017
476	20226	975
477	20269	932
478	20308	890
479	20351	847
480	20384	805
481	20423	762
482	20464	720
483	20510	678
484	20551	635
485	20592	593
486	20643	551
487	20683	508
488	20721	466
489	20756	423
490	20791	381
491	20829	338
492	20868	296
493	20906	253
494	20941	211
495	20972	169
496	21016	126
497	21059	84
498	21094	42
499	21132	0
